SYMBOL,INDUSTRY
CMSINFO,Specialty Business Services
COALINDIA,Thermal Coal
COASTCORP,Packaged Foods
COCHINSHIP,Aerospace & Defense
COFFEEDAY,Restaurants
COFORGE,Information Technology Services
COLPAL,Household & Personal Products
COMPINFO,Electronics & Computer Distribution
COMPUSOFT,Education & Training Services
COMSYN,Packaging & Containers
CONCOR,Railroads
CONCORDBIO,Biotechnology
CONFIPET,Oil & Gas Refining & Marketing
CONSOFINVT,Capital Markets
CONTROLPR,Business Equipment & Supplies
CORALFINAC,Real Estate Services
CORDSCABLE,Electrical Equipment & Parts
COROMANDEL,Agricultural Inputs
COSMOFIRST,Packaging & Containers
COUNCODOS,Real Estate - Development
CRAFTSMAN,Auto Parts
CREATIVE,Electronics & Computer Distribution
CREATIVEYE,Entertainment
CREDITACC,Credit Services
CREST,Financial Conglomerates
CRISIL,Financial Data & Stock Exchanges
CROMPTON,"Furnishings, Fixtures & Appliances"
CROWN,Rental & Leasing Services
CSBBANK,Banks - Regional
CSLFINANCE,Credit Services
CTE,Information Technology Services
CUB,Banks - Regional
CUBEXTUB,Copper
CUMMINSIND,Specialty Industrial Machinery
CUPID,Household & Personal Products
CYBERMEDIA,Publishing
CYBERTECH,Information Technology Services
CYIENT,Conglomerates
CYIENTDLM,Electronic Components
DABUR,Household & Personal Products
DALBHARAT,Building Materials
DALMIASUG,Confectioners
DAMODARIND,Textile Manufacturing
DANGEE,Restaurants
DATAMATICS,Information Technology Services
DATAPATTNS,Aerospace & Defense
DAVANGERE,
DBCORP,Publishing
DBL,Engineering & Construction
DBOL,Farm Products
DBREALTY,Real Estate - Development
DBSTOCKBRO,Capital Markets
DCAL,Biotechnology
DCBBANK,Banks - Regional
DCI,Electronics & Computer Distribution
DCM,Metal Fabrication
DCMFINSERV,Credit Services
DCMNVL,Textile Manufacturing
DCMSHRIRAM,Specialty Chemicals
DCMSRIND,Confectioners
DCW,Chemicals
DCXINDIA,Aerospace & Defense
DECCANCE,Building Materials
DEEPAKFERT,Chemicals
